month,categoryname,total_sales,growth_rate
2013-11-01 00:00:00-06:00,Electrónicos,3227.8,-0.14993020989702666
2013-12-01 00:00:00-06:00,Electrónicos,6550.4,1.02936984943305
2014-01-01 00:00:00-06:00,Electrónicos,9582.3,0.46285723009281865
2014-02-01 00:00:00-06:00,Electrónicos,7413.5,-0.22633396992371346
2014-03-01 00:00:00-06:00,Electrónicos,3324.9,-0.551507385175693
2014-04-01 00:00:00-06:00,Electrónicos,11714.65,2.5233089716983965
2014-05-01 00:00:00-05:00,Electrónicos,7997.5,-0.31730781542769093
2014-06-01 00:00:00-05:00,Electrónicos,2494.4,-0.6881025320412628
2014-07-01 00:00:00-05:00,Electrónicos,6968.03,1.7934693713919176
2014-08-01 00:00:00-05:00,Electrónicos,8025.3,0.15173155109837366
2014-09-01 00:00:00-05:00,Electrónicos,7192.5,-0.10377182161414533
2014-10-01 00:00:00-05:00,Electrónicos,8051.55,0.11943691345151208
2014-11-01 00:00:00-06:00,Electrónicos,5271.16,-0.3453235712378362
2014-12-01 00:00:00-06:00,Electrónicos,9191.98,0.7438248886393128
2015-01-01 00:00:00-06:00,Electrónicos,12387.75,0.34766938135200465
2015-02-01 00:00:00-06:00,Electrónicos,10026.15,-0.1906399467215596
2015-03-01 00:00:00-06:00,Electrónicos,24302.85,1.4239463802157357
2015-04-01 00:00:00-06:00,Electrónicos,9183.53,-0.6221212738423683
2015-05-01 00:00:00-05:00,Electrónicos,2459.45,-0.7321890384198669
2013-07-01 00:00:00-05:00,Otros,1273.6,
2013-08-01 00:00:00-05:00,Otros,270.6,-0.7875314070351759
2013-09-01 00:00:00-05:00,Otros,819.2,2.0273466371027347
2013-10-01 00:00:00-05:00,Otros,2501.2,2.0532226562499996
2013-11-01 00:00:00-06:00,Otros,2599.8,0.039421077882616506
2013-12-01 00:00:00-06:00,Otros,2353.2,-0.09485345026540515
2014-01-01 00:00:00-06:00,Otros,4570.2,0.9421213666496686
2014-02-01 00:00:00-06:00,Otros,5043.4,0.10354032646273681
2014-03-01 00:00:00-06:00,Otros,3350.0,-0.33576555498274974
2014-04-01 00:00:00-06:00,Otros,6555.6,0.9568955223880597
2014-05-01 00:00:00-05:00,Otros,2551.5,-0.6107907742998353
2014-06-01 00:00:00-05:00,Otros,6882.5,1.697432882618068
2014-07-01 00:00:00-05:00,Otros,4780.0,-0.3054849255357791
2014-08-01 00:00:00-05:00,Otros,5529.25,0.15674686192468612
2014-09-01 00:00:00-05:00,Otros,5755.75,0.04096396437129801
2014-10-01 00:00:00-05:00,Otros,3392.0,-0.4106762802414976
2014-11-01 00:00:00-06:00,Otros,6266.0,0.8472877358490567
2014-12-01 00:00:00-06:00,Otros,5810.75,-0.07265400574529202
2015-01-01 00:00:00-06:00,Otros,12573.75,1.1638772963903112
2015-02-01 00:00:00-06:00,Otros,4127.75,-0.6717168704642609
2015-03-01 00:00:00-06:00,Otros,3510.5,-0.1495366725213494
2015-04-01 00:00:00-06:00,Otros,5789.25,0.6491240564022218
2015-05-01 00:00:00-05:00,Otros,4421.0,-0.23634322235177263
2013-07-01 00:00:00-05:00,Ropa,7385.6,
2013-08-01 00:00:00-05:00,Ropa,4918.4,-0.3340554592720971
2013-09-01 00:00:00-05:00,Ropa,4290.0,-0.127765126870527
2013-10-01 00:00:00-05:00,Ropa,8117.6,0.8922144522144524
2013-11-01 00:00:00-06:00,Ropa,7738.8,-0.046664038632107996
2013-12-01 00:00:00-06:00,Ropa,12165.4,0.5720008270016022
2014-01-01 00:00:00-06:00,Ropa,9872.0,-0.1885182566952176
2014-02-01 00:00:00-06:00,Ropa,5616.0,-0.43111831442463533
2014-03-01 00:00:00-06:00,Ropa,9844.4,0.7529202279202278
2014-04-01 00:00:00-06:00,Ropa,6647.0,-0.32479379139409204
2014-05-01 00:00:00-05:00,Ropa,11491.5,0.728825033849857
2014-06-01 00:00:00-05:00,Ropa,9507.7,-0.17263194535091153
2014-07-01 00:00:00-05:00,Ropa,13570.1,0.42727473521461534
2014-08-01 00:00:00-05:00,Ropa,7375.5,-0.45648889838689477
2014-09-01 00:00:00-05:00,Ropa,12054.0,0.6343298759406142
2014-10-01 00:00:00-05:00,Ropa,13745.0,0.14028538244566113
2014-11-01 00:00:00-06:00,Ropa,13597.1,-0.010760276464168772
2014-12-01 00:00:00-06:00,Ropa,10590.5,-0.22112068014503095
2015-01-01 00:00:00-06:00,Ropa,19448.0,0.8363627779613805
2015-02-01 00:00:00-06:00,Ropa,11277.0,-0.4201460304401481
2015-03-01 00:00:00-06:00,Ropa,14990.8,0.32932517513523085
2015-04-01 00:00:00-06:00,Ropa,36452.1,1.4316314005923632
2015-05-01 00:00:00-05:00,Ropa,636.0,-0.9825524455381172
