customerid,companyname,total_margin,total_orders,pct_margin,order_freq,loyalty_score,avg_ticket,consumption_pattern,segment,loyal_segment,ltv
HILAA,Hilarion-Abastos,7083.474,18,0.017432485698953705,0.5806451612903226,0.2427175559355013,393.52633333333335,Premium recurrente,Premium,Leales,55.46075796169901
HUNGC,Hungry Coyote Import Store,918.96,5,0.002261567849039962,0.16129032258064516,0.06587306974168204,183.792,Ocasional bajo impacto,No Premium,No Leales,1.9527327796714882
HUNGO,Hungry Owl All-Night Grocers,17195.217,19,0.04231756542664032,0.6129032258064516,0.27055182957856483,905.0114210526316,Premium recurrente,Premium,Leales,150.0708844951755
ISLAT,Island Trading,1843.89,10,0.004537827915432985,0.3225806451612903,0.13175495481377592,184.389,Frecuente bajo ticket,No Premium,No Leales,7.836827213921719
KOENE,Königlich Essen,9523.725,14,0.023437962765624307,0.45161290322580644,0.19470793894969718,680.2660714285714,Premium recurrente,Premium,Leales,59.8175763185066
LACOR,La Corne D'Abondance,597.615,4,0.0014707352551841396,0.12903225806451613,0.05249534437891693,149.40375,Ocasional bajo impacto,No Premium,No Leales,1.0120001687421434
LAMAI,La Maison D'Asie,3081.705,14,0.007584100448578497,0.45161290322580644,0.1851956215594697,220.12178571428572,Premium recurrente,Premium,Leales,18.41026686896534
LAUGB,Laughing Bacchus Wine Cellars,156.75,3,0.0003857629933152847,0.0967741935483871,0.03894113521534401,52.25,Ocasional bajo impacto,No Premium,No Leales,0.19690396596790882
LAZYK,Lazy K Kountry Store,107.1,2,0.00026357394949962993,0.06451612903225806,0.025964595982603002,53.55,Ocasional bajo impacto,No Premium,No Leales,0.08970349128183165
LEHMS,Lehmanns Marktstand,6384.606,15,0.015712566007647377,0.4838709677419355,0.20297592670136264,425.6404,Premium recurrente,Premium,Leales,41.80391353138968
LETSS,Let'S Stop N Shop,1047.006,4,0.002576690070679828,0.12903225806451613,0.05315891726821435,261.7515,Ocasional bajo impacto,No Premium,No Leales,1.7954098494620658
LILAS,Lila-Supermercado,5347.518,14,0.0131602842136355,0.45161290322580644,0.1885413318185039,381.9655714285714,Premium recurrente,Premium,Leales,32.52348921430394
LINOD,Lino-Delicateses,5366.865,12,0.013207897334092729,0.3870967741935484,0.162763448077875,447.23875,Premium recurrente,Premium,Leales,28.178369444144018
LONEP,Lonesome Pine Restaurant,1277.58,8,0.003144134513554969,0.25806451612903225,0.10511228715974588,159.6975,Ocasional bajo impacto,No Premium,No Leales,4.331914704178972
MAGAA,Magazzini Alimentari Riuniti,2281.155,10,0.00561394054874723,0.3225806451612903,0.13240062239376446,228.11550000000003,Premium recurrente,No Premium,No Leales,9.742785218601542
MAISD,Maison Dewey,3129.174,7,0.007700922034094818,0.22580645161290322,0.09494313386561819,447.0248571428571,Premium ocasional,No Premium,No Leales,9.583664063574577
MEREP,Mère Paillarde,9661.17,13,0.023776216000815496,0.41935483870967744,0.18200766508436028,743.1669230769231,Premium recurrente,Premium,Leales,56.72280624784094
MORGK,Morgenstern Gesundkost,1512.66,5,0.003722668258170964,0.16129032258064516,0.06674972998716064,302.53200000000004,Ocasional bajo impacto,No Premium,No Leales,3.257085372979949
NORTS,North/South,194.7,3,0.00047915824432845887,0.0967741935483871,0.03899717236595192,64.89999999999999,Ocasional bajo impacto,No Premium,No Leales,0.24492740192422055
OCEAN,Océano Atlántico Ltda.,1038.06,5,0.002554673893721623,0.16129032258064516,0.06604893336849103,207.612,Ocasional bajo impacto,No Premium,No Leales,2.2117017991127677
OLDWO,Old World Delicatessen,4897.545,10,0.012052897091523483,0.3225806451612903,0.1362639963194302,489.7545,Premium recurrente,No Premium,No Leales,21.527711414653023
OTTIK,Ottilies Käseladen,3947.25,10,0.009714213558939443,0.3225806451612903,0.1348607861998798,394.725,Premium recurrente,No Premium,No Leales,17.17191091378953
PERIC,Pericles Comidas Clásicas,1272.66,6,0.0031320263545303365,0.1935483870967742,0.07929857065142788,212.11,Ocasional bajo impacto,No Premium,No Leales,3.2554877072660067
PICCO,Piccolo Und Mehr,7877.985,10,0.01938778357188461,0.3225806451612903,0.1406649282076469,787.7985,Premium recurrente,No Premium,No Leales,35.746974014384485
PRINI,Princesa Isabel Vinhos,1595.13,5,0.003925627582309474,0.16129032258064516,0.06687150558164374,319.026,Ocasional bajo impacto,No Premium,No Leales,3.440927248337012
QUEDE,Que Delícia,2092.089,9,0.005148647623106735,0.2903225806451613,0.11921822083192858,232.45433333333332,Frecuente bajo ticket,No Premium,No Leales,8.045649303291892
QUEEN,Queen Cozinha,9067.83,13,0.022316001554539954,0.41935483870967744,0.18113153641659496,697.5253846153846,Premium recurrente,Premium,Leales,52.98290257627394
QUICK,Quick-Stop,35245.017,28,0.0867382663946928,0.9032258064516129,0.41333328241746087,1258.7506071428572,Premium recurrente,Premium,Leales,469.93350211191006
RANCH,Rancho Grande,853.23,5,0.002099805797680385,0.16129032258064516,0.06577601251086629,170.64600000000002,Ocasional bajo impacto,No Premium,No Leales,1.810389263053111
RATTC,Rattlesnake Canyon Grocery,15673.77,18,0.03857327229177231,0.5806451612903226,0.2554020278911925,870.765,Premium recurrente,Premium,Leales,129.13266589355277
REGGC,Reggiani Caseifici,2266.68,12,0.005578317458933904,0.3870967741935484,0.15818570015277972,188.89,Frecuente bajo ticket,No Premium,No Leales,11.56633428459041
RICAR,Ricardo Adocicados,3877.32,11,0.009542115274266155,0.3548387096774194,0.14766075303552745,352.4836363636364,Premium recurrente,No Premium,No Leales,18.468644869668108
RICSU,Richter Supermarkt,6009.96,10,0.014790559230016768,0.3225806451612903,0.1379065936025262,600.996,Premium recurrente,No Premium,No Leales,26.735906815723812
ROMEY,Romero Y Tomillo,440.187,5,0.00108330369849107,0.16129032258064516,0.0651661112513527,88.0374,Ocasional bajo impacto,No Premium,No Leales,0.9253314520451352
SANTG,Santé Gourmet,1720.545,6,0.00423427489208068,0.1935483870967742,0.07995991977395808,286.7575,Ocasional bajo impacto,No Premium,No Leales,4.437891618305958
SAVEA,Save-A-Lot Markets,34702.017,31,0.08540193908770588,1.0,0.45124116345262355,1119.4199032258064,Premium recurrente,Premium,Leales,505.1283395236361
SEVES,Seven Seas Imports,5151.615,9,0.012678165376765041,0.2903225806451613,0.12373593148412355,572.4016666666666,Premium recurrente,No Premium,No Leales,20.56257679588978
SIMOB,Simons Bistro,5441.535,7,0.01339166079636292,0.22580645161290322,0.09835757712297905,777.3621428571429,Premium ocasional,No Premium,No Leales,17.2650386590287
SPECD,Spécialités Du Monde,727.005,4,0.0017891650714843927,0.12903225806451613,0.052686402268697086,181.75125,Ocasional bajo impacto,No Premium,No Leales,1.2355896090759393
SPLIR,Split Rail Beer & Ale,3746.91,9,0.009221175229875428,0.2903225806451613,0.12166173739598979,416.3233333333333,Premium recurrente,No Premium,No Leales,14.705018724722843
SUPRD,Suprêmes Délices,7411.32,12,0.01823931730537439,0.3870967741935484,0.16578230006064398,617.61,Premium recurrente,Premium,Leales,39.634376647917804
THEBI,The Big Cheese,1008.3,4,0.002481434297670185,0.12903225806451613,0.053101763804408564,252.075,Ocasional bajo impacto,No Premium,No Leales,1.7271776917414565
THECR,The Cracker Box,584.172,3,0.001437651925556469,0.0967741935483871,0.03957226857468872,194.72400000000002,Ocasional bajo impacto,No Premium,No Leales,0.7457100412197761
TOMSP,Toms Spezialitäten,1486.2,6,0.0036575499882945846,0.1935483870967742,0.07961388483168644,247.70000000000002,Ocasional bajo impacto,No Premium,No Leales,3.816843730221045
TORTU,Tortuga Restaurante,3243.645,10,0.00798263607306001,0.3225806451612903,0.13382183970835212,324.3645,Premium recurrente,No Premium,No Leales,14.002275524541867
TRADH,Tradição Hipermercados,2193.186,6,0.005397448141991554,0.1935483870967742,0.0806578237239046,365.531,Ocasional bajo impacto,No Premium,No Leales,5.706374509088239
TRAIH,Trail'S Head Gourmet Provisioners,471.36,3,0.001160020698750192,0.0967741935483871,0.03940568983860496,157.12,Ocasional bajo impacto,No Premium,No Leales,0.5991698697524139
VAFFE,Vaffeljernet,4993.14,11,0.012288157144767341,0.3548387096774194,0.14930837815782816,453.9218181818182,Premium recurrente,No Premium,No Leales,24.048955977902523
VICTE,Victuailles En Stock,2981.13,10,0.007336584575834097,0.3225806451612903,0.13343420881001658,298.113,Premium recurrente,No Premium,No Leales,12.83176525515499
VINET,Vins Et Alcools Chevalier,444.0,5,0.0010926875217351605,0.16129032258064516,0.06517174154529916,88.8,Ocasional bajo impacto,No Premium,No Leales,0.9334275240681557
WANDK,Die Wandernde Kuh,3196.155,10,0.007865762806377121,0.3225806451612903,0.1337517157483424,319.6155,Premium recurrente,No Premium,No Leales,13.790039195085267
WARTH,Wartian Herkku,4985.13,15,0.012268444471233335,0.4838709677419355,0.20090945377951422,332.342,Premium recurrente,Premium,Leales,32.30837888128612
WELLI,Wellington Importadora,1944.21,9,0.004784716231154767,0.2903225806451613,0.1189998619967574,216.02333333333334,Frecuente bajo ticket,No Premium,No Leales,7.463249086861798
WHITC,White Clover Markets,8722.035,14,0.021464997316750743,0.45161290322580644,0.19352415968037304,623.0024999999999,Premium recurrente,Premium,Leales,54.4491772283162
WILMK,Wilman Kala,948.405,7,0.0023340322275928714,0.22580645161290322,0.09172299998171703,135.48642857142858,Ocasional bajo impacto,No Premium,No Leales,2.8061468321825913
WOLZA,Wolski  Zajazd,1059.585,7,0.002607647089454392,0.22580645161290322,0.09188716889883393,151.36928571428572,Ocasional bajo impacto,No Premium,No Leales,3.1407182534732563
