customerid,companyname,total_margin,total_orders,pct_margin,order_freq,loyalty_score
ISLAT,Island Trading,1843.89,10,0.004537827915432985,0.3225806451612903,0.13175495481377592
BSBEV,B'S Beverages,1826.97,10,0.00449618766122632,0.3225806451612903,0.13172997066125192
SEVES,Seven Seas Imports,5151.615,9,0.012678165376765041,0.2903225806451613,0.12373593148412355
SPLIR,Split Rail Beer & Ale,3746.91,9,0.009221175229875428,0.2903225806451613,0.12166173739598979
GOURL,Gourmet Lanchonetes,2610.669,9,0.00642487711639822,0.2903225806451613,0.11998395852790347
QUEDE,Que Delícia,2092.089,9,0.005148647623106735,0.2903225806451613,0.11921822083192858
WELLI,Wellington Importadora,1944.21,9,0.004784716231154767,0.2903225806451613,0.1189998619967574
EASTC,Eastern Connection,4510.098,8,0.011099386951357442,0.25806451612903225,0.10988543862242736
CHOPS,Chop-Suey Chinese,3865.89,8,0.009513985953605269,0.25806451612903225,0.10893419802377606
FURIB,Furia Bacalhau E Frutos Do Mar,2145.465,8,0.00528000638247641,0.25806451612903225,0.10639381028109875
LONEP,Lonesome Pine Restaurant,1277.58,8,0.003144134513554969,0.25806451612903225,0.10511228715974588
SIMOB,Simons Bistro,5441.535,7,0.01339166079636292,0.22580645161290322,0.09835757712297905
MAISD,Maison Dewey,3129.174,7,0.007700922034094818,0.22580645161290322,0.09494313386561819
ANTON,Antonio Moreno Taquería,2254.605,7,0.005548600788156986,0.22580645161290322,0.09365174111805549
FAMIA,Familia Arquibaldo,1331.67,7,0.0032772504325879756,0.22580645161290322,0.09228893090471409
WOLZA,Wolski  Zajazd,1059.585,7,0.002607647089454392,0.22580645161290322,0.09188716889883393
BLAUS,Blauer See Delikatessen,971.94,7,0.0023919520492686305,0.22580645161290322,0.09175775187472247
WILMK,Wilman Kala,948.405,7,0.0023340322275928714,0.22580645161290322,0.09172299998171703
TRADH,Tradição Hipermercados,2193.186,6,0.005397448141991554,0.1935483870967742,0.0806578237239046
SANTG,Santé Gourmet,1720.545,6,0.00423427489208068,0.1935483870967742,0.07995991977395808
TOMSP,Toms Spezialitäten,1486.2,6,0.0036575499882945846,0.1935483870967742,0.07961388483168644
ALFKI,Alfreds Futterkiste,1378.86,6,0.0033933853968913137,0.1935483870967742,0.07945538607684446
PERIC,Pericles Comidas Clásicas,1272.66,6,0.0031320263545303365,0.1935483870967742,0.07929857065142788
DRACD,Drachenblut Delikatessen,1128.963,6,0.002778386897749306,0.1935483870967742,0.07908638697735926
CACTU,Cactus Comidas Para Llevar,544.44,6,0.0013398711584087632,0.1935483870967742,0.07822327753375494
FRANS,Franchi S.P.A.,463.71,6,0.001141193988071647,0.1935483870967742,0.07810407123155266
FOLIG,Folies Gourmandes,3500.07,5,0.008613700031981043,0.16129032258064516,0.06968434905144669
PRINI,Princesa Isabel Vinhos,1595.13,5,0.003925627582309474,0.16129032258064516,0.06687150558164374
MORGK,Morgenstern Gesundkost,1512.66,5,0.003722668258170964,0.16129032258064516,0.06674972998716064
COMMI,Comércio Mineiro,1143.225,5,0.0028134857928731505,0.16129032258064516,0.06620422050798196
OCEAN,Océano Atlántico Ltda.,1038.06,5,0.002554673893721623,0.16129032258064516,0.06604893336849103
HUNGC,Hungry Coyote Import Store,918.96,5,0.002261567849039962,0.16129032258064516,0.06587306974168204
RANCH,Rancho Grande,853.23,5,0.002099805797680385,0.16129032258064516,0.06577601251086629
VINET,Vins Et Alcools Chevalier,444.0,5,0.0010926875217351605,0.16129032258064516,0.06517174154529916
ROMEY,Romero Y Tomillo,440.187,5,0.00108330369849107,0.16129032258064516,0.0651661112513527
GALED,Galería Del Gastrónomo,251.01,5,0.0006177376009701411,0.16129032258064516,0.06488677159284015
LETSS,Let'S Stop N Shop,1047.006,4,0.002576690070679828,0.12903225806451613,0.05315891726821435
THEBI,The Big Cheese,1008.3,4,0.002481434297670185,0.12903225806451613,0.053101763804408564
SPECD,Spécialités Du Monde,727.005,4,0.0017891650714843927,0.12903225806451613,0.052686402268697086
LACOR,La Corne D'Abondance,597.615,4,0.0014707352551841396,0.12903225806451613,0.05249534437891693
DUMON,Du Monde Entier,484.77,4,0.001193022815116112,0.12903225806451613,0.05232871691487612
ANATR,Ana Trujillo Emparedados Y Helados,420.885,4,0.0010358013233907725,0.12903225806451613,0.052234384019840915
BOLID,Bólido Comidas Preparadas,1589.34,3,0.003911378346384144,0.0967741935483871,0.04105650442718533
FRANR,France Restauration,951.648,3,0.0023420132763158153,0.0967741935483871,0.04011488538514433
THECR,The Cracker Box,584.172,3,0.001437651925556469,0.0967741935483871,0.03957226857468872
CONSH,Consolidated Holdings,515.73,3,0.001269215620685753,0.0967741935483871,0.03947120679176629
TRAIH,Trail'S Head Gourmet Provisioners,471.36,3,0.001160020698750192,0.0967741935483871,0.03940568983860496
NORTS,North/South,194.7,3,0.00047915824432845887,0.0967741935483871,0.03899717236595192
LAUGB,Laughing Bacchus Wine Cellars,156.75,3,0.0003857629933152847,0.0967741935483871,0.03894113521534401
GROSR,Grosella-Restaurante,446.61,2,0.0010991107524372524,0.06451612903225806,0.026465918064365577
LAZYK,Lazy K Kountry Store,107.1,2,0.00026357394949962993,0.06451612903225806,0.025964595982603002
CENTC,Centro Comercial Moctezuma,30.24,1,7.442087985871904e-05,0.03225806451612903,0.012947878334366844
