orderid,shipperid,freight,orderdate,shippeddate,country,delivery_days
10585,1,13.41,2014-07-01,2014-07-10,Brazil,9.0
10323,1,4.88,2013-10-07,2013-10-14,Germany,7.0
10280,1,8.98,2013-08-14,2013-09-12,Sweden,29.0
10732,1,16.97,2014-11-06,2014-11-07,France,1.0
10610,1,26.78,2014-07-25,2014-08-06,France,12.0
11052,1,67.26,2015-04-27,2015-05-01,Brazil,4.0
10430,1,458.78,2014-01-30,2014-02-03,Austria,4.0
10531,1,8.12,2014-05-08,2014-05-19,Argentina,11.0
10807,1,1.36,2014-12-31,2015-01-30,Italy,30.0
10890,1,32.76,2015-02-16,2015-02-18,France,2.0
10811,1,31.22,2015-01-02,2015-01-08,Venezuela,6.0
10812,1,59.78,2015-01-02,2015-01-12,Italy,10.0
10401,1,12.51,2014-01-01,2014-01-10,Usa,9.0
10533,1,188.04,2014-05-12,2014-05-22,Sweden,10.0
10954,1,27.91,2015-03-17,2015-03-20,Venezuela,3.0
10658,1,364.15,2014-09-05,2014-09-08,Germany,3.0
10522,1,45.33,2014-04-30,2014-05-06,Germany,6.0
10991,1,38.51,2015-04-01,2015-04-07,Germany,6.0
10821,1,36.68,2015-01-08,2015-01-15,Usa,7.0
10601,1,58.3,2014-07-16,2014-07-22,Venezuela,6.0
10497,1,36.21,2014-04-04,2014-04-07,Germany,3.0
10618,1,154.68,2014-08-01,2014-08-08,Canada,7.0
11064,1,30.09,2015-05-01,2015-05-04,Usa,3.0
10331,1,10.19,2013-10-16,2013-10-21,France,5.0
10288,1,7.45,2013-08-23,2013-09-03,Italy,11.0
10249,1,11.61,2013-07-05,2013-07-10,Germany,5.0
10775,1,20.25,2014-12-12,2014-12-26,Usa,14.0
10636,1,1.15,2014-08-19,2014-08-26,Finland,7.0
10443,1,13.95,2014-02-12,2014-02-14,Italy,2.0
10877,1,38.06,2015-02-09,2015-02-19,Brazil,10.0
10343,1,110.37,2013-10-31,2013-11-06,Germany,6.0
10748,1,232.55,2014-11-20,2014-11-28,Usa,8.0
10987,1,185.48,2015-03-31,2015-04-06,Uk,6.0
10566,1,88.4,2014-06-12,2014-06-18,France,6.0
10723,1,21.72,2014-10-30,2014-11-25,Usa,26.0
10731,1,96.65,2014-11-06,2014-11-14,Switzerland,8.0
10267,1,208.58,2013-07-29,2013-08-06,Germany,8.0
10895,1,162.75,2015-02-18,2015-02-23,Austria,5.0
10690,1,15.8,2014-10-02,2014-10-03,Brazil,1.0
10638,1,158.44,2014-08-20,2014-09-01,Venezuela,12.0
10544,1,24.91,2014-05-21,2014-05-30,Usa,9.0
10738,1,2.91,2014-11-12,2014-11-18,France,6.0
10324,1,214.27,2013-10-08,2013-10-10,Usa,2.0
10637,1,201.29,2014-08-19,2014-08-26,Brazil,7.0
10281,1,2.94,2013-08-14,2013-08-21,Spain,7.0
10607,1,200.24,2014-07-22,2014-07-25,Usa,3.0
10317,1,12.69,2013-09-30,2013-10-10,Usa,10.0
10710,1,4.98,2014-10-20,2014-10-23,Italy,3.0
10787,1,249.93,2014-12-19,2014-12-26,France,7.0
10914,1,21.19,2015-02-27,2015-03-02,Brazil,3.0
10274,1,6.01,2013-08-06,2013-08-16,France,10.0
10418,1,17.55,2014-01-17,2014-01-24,Germany,7.0
10421,1,99.23,2014-01-21,2014-01-27,Brazil,6.0
10562,1,22.95,2014-06-09,2014-06-12,Italy,3.0
10309,1,47.3,2013-09-19,2013-10-23,Ireland,34.0
10780,1,42.13,2014-12-16,2014-12-25,Venezuela,9.0
10446,1,14.68,2014-02-14,2014-02-19,Germany,5.0
10851,1,160.55,2015-01-26,2015-02-02,Brazil,7.0
10515,1,204.47,2014-04-23,2014-05-23,Germany,30.0
10428,1,11.09,2014-01-28,2014-02-04,Italy,7.0
11065,1,12.91,2015-05-01,,Venezuela,
10778,1,6.79,2014-12-16,2014-12-24,Sweden,8.0
11034,1,40.32,2015-04-20,2015-04-27,Usa,7.0
10388,1,34.86,2013-12-19,2013-12-20,Uk,1.0
11044,1,8.72,2015-04-23,2015-05-01,Poland,8.0
11027,1,52.52,2015-04-16,2015-04-20,Canada,4.0
10406,1,108.04,2014-01-07,2014-01-13,Brazil,6.0
10660,1,111.29,2014-09-08,2014-10-15,Usa,37.0
10569,1,58.98,2014-06-16,2014-07-11,Usa,25.0
11026,1,47.09,2015-04-15,2015-04-28,Italy,13.0
10824,1,1.23,2015-01-09,2015-01-30,Sweden,21.0
10913,1,33.05,2015-02-26,2015-03-04,Brazil,6.0
10726,1,16.56,2014-11-03,2014-12-05,Uk,32.0
10712,1,89.93,2014-10-21,2014-10-31,Ireland,10.0
11005,1,0.75,2015-04-07,2015-04-10,Finland,3.0
10813,1,47.38,2015-01-05,2015-01-09,Brazil,4.0
10364,1,71.97,2013-11-26,2013-12-04,Uk,8.0
10669,1,24.39,2014-09-15,2014-09-22,Denmark,7.0
10595,1,96.78,2014-07-10,2014-07-14,Austria,4.0
10855,1,170.97,2015-01-27,2015-02-04,Usa,8.0
10640,1,23.55,2014-08-21,2014-08-28,Germany,7.0
10358,1,19.64,2013-11-20,2013-11-27,France,7.0
10631,1,0.87,2014-08-14,2014-08-15,France,1.0
10260,1,55.09,2013-07-19,2013-07-29,Germany,10.0
10901,1,62.09,2015-02-23,2015-02-26,Venezuela,3.0
10654,1,55.26,2014-09-02,2014-09-11,Sweden,9.0
10982,1,14.01,2015-03-27,2015-04-08,Canada,12.0
10395,1,184.41,2013-12-26,2014-01-03,Venezuela,8.0
10683,1,4.4,2014-09-26,2014-10-01,France,5.0
11071,1,0.93,2015-05-05,,Venezuela,
10556,1,9.8,2014-06-03,2014-06-13,Denmark,10.0
10584,1,59.14,2014-06-30,2014-07-04,France,4.0
10466,1,11.93,2014-03-06,2014-03-13,Brazil,7.0
10296,1,0.12,2013-09-03,2013-09-11,Venezuela,8.0
10766,1,157.55,2014-12-05,2014-12-09,Germany,4.0
10379,1,45.03,2013-12-11,2013-12-13,Brazil,2.0
10980,1,1.26,2015-03-27,2015-04-17,Sweden,21.0
10966,1,27.19,2015-03-20,2015-04-08,Switzerland,19.0
10513,1,105.65,2014-04-22,2014-04-28,Germany,6.0
10520,1,13.37,2014-04-29,2014-05-01,Norway,2.0
10753,1,7.7,2014-11-25,2014-11-27,Italy,2.0
10850,1,49.19,2015-01-23,2015-01-30,France,7.0
10452,1,140.26,2014-02-20,2014-02-26,Usa,6.0
10713,1,167.05,2014-10-22,2014-10-24,Usa,2.0
11028,1,29.59,2015-04-16,2015-04-22,Germany,6.0
10472,1,4.2,2014-03-12,2014-03-19,Uk,7.0
10927,1,19.79,2015-03-05,2015-04-08,France,34.0
10680,1,26.61,2014-09-24,2014-09-26,Usa,2.0
10600,1,45.13,2014-07-16,2014-07-21,Usa,5.0
10952,1,40.42,2015-03-16,2015-03-24,Germany,8.0
10349,1,8.63,2013-11-08,2013-11-15,Usa,7.0
10684,1,145.63,2014-09-26,2014-09-30,Germany,4.0
10798,1,2.33,2014-12-26,2015-01-05,Uk,10.0
10604,1,7.46,2014-07-18,2014-07-29,Portugal,11.0
10507,1,47.45,2014-04-15,2014-04-22,Mexico,7.0
11037,1,3.2,2015-04-21,2015-04-27,Spain,6.0
10397,1,60.26,2013-12-27,2014-01-02,Portugal,6.0
10409,1,29.83,2014-01-09,2014-01-14,Argentina,5.0
10929,1,33.93,2015-03-05,2015-03-12,Germany,7.0
10492,1,62.89,2014-04-01,2014-04-11,Canada,10.0
10645,1,12.41,2014-08-26,2014-09-02,Brazil,7.0
10415,1,0.2,2014-01-15,2014-01-24,Usa,9.0
10702,1,23.94,2014-10-13,2014-10-21,Germany,8.0
10426,1,18.69,2014-01-27,2014-02-06,Spain,10.0
10866,1,109.11,2015-02-03,2015-02-12,Sweden,9.0
11021,1,297.18,2015-04-14,2015-04-21,Germany,7.0
10825,1,79.25,2015-01-09,2015-01-14,Germany,5.0
10437,1,19.97,2014-02-05,2014-02-12,Finland,7.0
10632,1,41.38,2014-08-14,2014-08-19,Germany,5.0
10911,1,38.19,2015-02-26,2015-03-05,Spain,7.0
10925,1,2.27,2015-03-04,2015-03-13,Brazil,9.0
10715,1,63.2,2014-10-23,2014-10-29,France,6.0
10591,1,55.92,2014-07-07,2014-07-16,Denmark,9.0
10786,1,110.87,2014-12-19,2014-12-23,Brazil,4.0
10902,1,44.15,2015-02-23,2015-03-03,Sweden,8.0
10625,1,43.9,2014-08-08,2014-08-14,Mexico,6.0
10549,1,171.24,2014-05-27,2014-05-30,Germany,3.0
10744,1,69.19,2014-11-17,2014-11-24,Denmark,7.0
10552,1,83.22,2014-05-29,2014-06-05,Venezuela,7.0
10282,1,12.69,2013-08-15,2013-08-21,Spain,6.0
11070,1,136.0,2015-05-05,,Germany,
10686,1,96.5,2014-09-30,2014-10-08,Austria,8.0
10881,1,2.84,2015-02-11,2015-02-18,Argentina,7.0
10475,1,68.52,2014-03-14,2014-04-04,Belgium,21.0
10509,1,0.15,2014-04-17,2014-04-29,Germany,12.0
10976,1,37.97,2015-03-25,2015-04-03,Venezuela,9.0
10730,1,20.12,2014-11-05,2014-11-14,France,9.0
10769,1,65.06,2014-12-08,2014-12-12,Denmark,4.0
10928,1,1.36,2015-03-05,2015-03-18,Spain,13.0
11042,1,29.99,2015-04-22,2015-05-01,Brazil,9.0
10535,1,15.64,2014-05-13,2014-05-21,Mexico,8.0
10760,1,155.64,2014-12-01,2014-12-10,Belgium,9.0
10945,1,10.22,2015-03-12,2015-03-18,Germany,6.0
10667,1,78.09,2014-09-12,2014-09-19,Austria,7.0
10275,1,26.93,2013-08-07,2013-08-09,Italy,2.0
10527,1,41.9,2014-05-05,2014-05-07,Germany,2.0
10869,1,143.28,2015-02-04,2015-02-09,Uk,5.0
10284,1,76.56,2013-08-19,2013-08-27,Germany,8.0
10592,1,32.1,2014-07-08,2014-07-16,Germany,8.0
10560,1,36.65,2014-06-06,2014-06-09,Germany,3.0
10826,1,7.09,2015-01-12,2015-02-06,France,25.0
10462,1,6.17,2014-03-03,2014-03-18,Uk,15.0
10932,1,134.64,2015-03-06,2015-03-24,France,18.0
10873,1,0.82,2015-02-06,2015-02-09,Finland,3.0
10886,1,4.99,2015-02-13,2015-03-02,Brazil,17.0
10878,1,46.69,2015-02-10,2015-02-12,Germany,2.0
11024,1,74.36,2015-04-15,2015-04-20,Uk,5.0
10745,1,3.52,2014-11-18,2014-11-27,Germany,9.0
10270,1,136.54,2013-08-01,2013-08-02,Finland,1.0
10865,1,348.14,2015-02-02,2015-02-12,Germany,10.0
10985,1,91.51,2015-03-30,2015-04-02,Ireland,3.0
10351,1,162.33,2013-11-11,2013-11-20,Austria,9.0
10327,1,63.36,2013-10-11,2013-10-14,Sweden,3.0
10567,1,33.97,2014-06-12,2014-06-17,Ireland,5.0
11045,2,70.58,2015-04-23,,Canada,
10413,2,95.66,2014-01-14,2014-01-16,France,2.0
11055,2,120.92,2015-04-28,2015-05-05,Venezuela,7.0
10789,2,100.6,2014-12-22,2014-12-31,France,9.0
11023,2,123.83,2015-04-14,2015-04-24,Uk,10.0
10804,2,27.33,2014-12-30,2015-01-07,Uk,8.0
10892,2,120.27,2015-02-17,2015-02-19,Belgium,2.0
10496,2,46.77,2014-04-04,2014-04-07,Brazil,3.0
10986,2,217.86,2015-03-30,2015-04-21,Argentina,22.0
10659,2,105.81,2014-09-05,2014-09-10,Brazil,5.0
10301,2,45.08,2013-09-09,2013-09-17,Germany,8.0
10336,2,15.51,2013-10-23,2013-10-25,Portugal,2.0
10657,2,352.69,2014-09-04,2014-09-15,Usa,11.0
10344,2,23.29,2013-11-01,2013-11-05,Usa,4.0
10651,2,20.6,2014-09-01,2014-09-11,Germany,10.0
11073,2,24.95,2015-05-05,,Mexico,
10300,2,17.68,2013-09-09,2013-09-18,Italy,9.0
10900,2,1.66,2015-02-20,2015-03-04,Brazil,12.0
10962,2,275.79,2015-03-19,2015-03-23,Germany,4.0
10685,2,33.75,2014-09-29,2014-10-03,Brazil,4.0
10329,2,191.67,2013-10-15,2013-10-23,Usa,8.0
10641,2,179.61,2014-08-22,2014-08-26,Venezuela,4.0
10438,2,8.24,2014-02-06,2014-02-14,Germany,8.0
10553,2,149.49,2014-05-30,2014-06-03,Finland,4.0
10523,2,77.63,2014-05-01,2014-05-30,Uk,29.0
10506,2,21.19,2014-04-15,2014-05-02,Germany,17.0
10335,2,42.11,2013-10-22,2013-10-24,Ireland,2.0
10464,2,89.0,2014-03-04,2014-03-14,Portugal,10.0
10431,2,44.17,2014-01-30,2014-02-07,Canada,8.0
11030,2,830.75,2015-04-17,2015-04-27,Usa,10.0
10909,2,53.05,2015-02-26,2015-03-10,Norway,12.0
10279,2,25.83,2013-08-13,2013-08-16,Germany,3.0
10307,2,0.56,2013-09-17,2013-09-25,Usa,8.0
10603,2,48.77,2014-07-18,2014-08-08,Usa,21.0
10488,2,4.93,2014-03-27,2014-04-02,Germany,6.0
10545,2,11.92,2014-05-22,2014-06-26,Usa,35.0
10481,2,64.33,2014-03-20,2014-03-25,Brazil,5.0
10252,2,51.3,2013-07-09,2013-07-11,Belgium,2.0
10292,2,1.35,2013-08-28,2013-09-02,Brazil,5.0
10368,2,101.95,2013-11-29,2013-12-02,Austria,3.0
10512,2,3.53,2014-04-21,2014-04-24,Brazil,3.0
10823,2,163.97,2015-01-09,2015-01-13,Venezuela,4.0
10548,2,1.43,2014-05-26,2014-06-02,Germany,7.0
10536,2,58.88,2014-05-14,2014-06-06,Germany,23.0
11020,2,43.3,2015-04-14,2015-04-16,Germany,2.0
10350,2,64.19,2013-11-11,2013-12-03,France,22.0
10579,2,13.73,2014-06-25,2014-07-04,Usa,9.0
10924,2,151.52,2015-03-04,2015-04-08,Sweden,35.0
10682,2,36.13,2014-09-25,2014-10-01,Mexico,6.0
10947,2,3.26,2015-03-13,2015-03-16,Uk,3.0
10412,2,3.77,2014-01-13,2014-01-15,Finland,2.0
11018,2,11.65,2015-04-13,2015-04-16,Usa,3.0
10724,2,57.75,2014-10-30,2014-11-05,Canada,6.0
10956,2,44.65,2015-03-17,2015-03-20,Germany,3.0
10613,2,8.11,2014-07-29,2014-08-01,Venezuela,3.0
10524,2,244.79,2014-05-01,2014-05-07,Sweden,6.0
10997,2,73.91,2015-04-03,2015-04-13,Venezuela,10.0
10582,2,27.71,2014-06-27,2014-07-14,Germany,17.0
10931,2,13.6,2015-03-06,2015-03-19,Switzerland,13.0
10375,2,20.12,2013-12-06,2013-12-09,Usa,3.0
10299,2,29.76,2013-09-06,2013-09-13,Brazil,7.0
10854,2,100.22,2015-01-27,2015-02-05,Austria,9.0
10688,2,299.09,2014-10-01,2014-10-07,Denmark,6.0
10917,2,8.29,2015-03-02,2015-03-11,Spain,9.0
10743,2,23.72,2014-11-17,2014-11-21,Uk,4.0
11039,2,65.0,2015-04-21,,Venezuela,
10893,2,77.78,2015-02-18,2015-02-20,Germany,2.0
10888,2,51.87,2015-02-16,2015-02-23,Spain,7.0
10736,2,44.1,2014-11-11,2014-11-21,Ireland,10.0
10919,2,19.8,2015-03-02,2015-03-04,Venezuela,2.0
11060,2,10.98,2015-04-30,2015-05-04,Italy,4.0
10719,2,51.44,2014-10-27,2014-11-05,Usa,9.0
10771,2,11.19,2014-12-10,2015-01-02,Austria,23.0
10964,2,87.38,2015-03-20,2015-03-24,France,4.0
11062,2,29.93,2015-04-30,,Italy,
10936,2,33.68,2015-03-09,2015-03-18,Usa,9.0
10848,2,38.24,2015-01-23,2015-01-29,Uk,6.0
11063,2,81.73,2015-04-30,2015-05-06,Ireland,6.0
10407,2,91.48,2014-01-07,2014-01-30,Germany,23.0
10477,2,13.02,2014-03-17,2014-03-25,Portugal,8.0
10831,2,72.19,2015-01-14,2015-01-23,Norway,9.0
11017,2,754.26,2015-04-13,2015-04-20,Austria,7.0
10912,2,580.91,2015-02-26,2015-03-18,Ireland,20.0
10467,2,4.93,2014-03-06,2014-03-11,Italy,5.0
10489,2,5.29,2014-03-28,2014-04-09,Austria,12.0
10558,2,72.97,2014-06-04,2014-06-10,Uk,6.0
10485,2,64.45,2014-03-25,2014-03-31,Venezuela,6.0
10630,2,32.35,2014-08-13,2014-08-19,Germany,6.0
10652,2,7.14,2014-09-01,2014-09-08,Brazil,7.0
10755,2,16.71,2014-11-26,2014-11-28,France,2.0
10897,2,603.54,2015-02-19,2015-02-25,Ireland,6.0
10436,2,156.66,2014-02-05,2014-02-11,France,6.0
10953,2,23.72,2015-03-16,2015-03-25,Uk,9.0
10318,2,4.73,2013-10-01,2013-10-04,Uk,3.0
10285,2,76.83,2013-08-20,2013-08-26,Germany,6.0
10432,2,4.34,2014-01-31,2014-02-07,Usa,7.0
11022,2,6.27,2015-04-14,2015-05-04,Brazil,20.0
10795,2,126.66,2014-12-24,2015-01-20,Austria,27.0
11016,2,33.8,2015-04-10,2015-04-13,Uk,3.0
10647,2,45.54,2014-08-27,2014-09-03,Brazil,7.0
11043,2,8.8,2015-04-22,2015-04-29,France,7.0
10806,2,22.11,2014-12-31,2015-01-05,France,5.0
10728,2,58.33,2014-11-04,2014-11-11,Brazil,7.0
10777,2,3.01,2014-12-15,2015-01-21,Brazil,37.0
11006,2,25.19,2015-04-07,2015-04-15,Usa,8.0
10859,2,76.1,2015-01-29,2015-02-02,Germany,4.0
10518,2,218.15,2014-04-25,2014-05-05,Mexico,10.0
10749,2,61.53,2014-11-20,2014-12-19,Uk,29.0
10470,2,64.56,2014-03-11,2014-03-14,France,3.0
10662,2,1.28,2014-09-09,2014-09-18,Usa,9.0
10708,2,2.96,2014-10-17,2014-11-05,Usa,19.0
10365,2,22.0,2013-11-27,2013-12-02,Mexico,5.0
10687,2,296.43,2014-09-30,2014-10-30,Ireland,30.0
11001,2,197.3,2015-04-06,2015-04-14,Sweden,8.0
10490,2,210.19,2014-03-31,2014-04-03,Venezuela,3.0
10372,2,890.78,2013-12-04,2013-12-09,Brazil,5.0
10256,2,13.97,2013-07-15,2013-07-17,Brazil,2.0
10617,2,18.53,2014-07-31,2014-08-04,Usa,4.0
10345,2,249.06,2013-11-04,2013-11-11,Germany,7.0
10429,2,56.63,2014-01-29,2014-02-07,Ireland,9.0
10665,2,26.31,2014-09-11,2014-09-17,Usa,6.0
11050,2,59.41,2015-04-27,2015-05-05,Sweden,8.0
10973,2,15.17,2015-03-24,2015-03-27,France,3.0
10820,2,37.52,2015-01-07,2015-01-13,Usa,6.0
10655,2,4.41,2014-09-03,2014-09-11,Italy,8.0
10874,2,19.58,2015-02-06,2015-02-11,Spain,5.0
10950,2,2.5,2015-03-16,2015-03-23,Italy,7.0
10356,2,36.71,2013-11-18,2013-11-27,Germany,9.0
10983,2,657.54,2015-03-27,2015-04-06,Usa,10.0
10761,2,18.66,2014-12-02,2014-12-08,Usa,6.0
10832,2,43.26,2015-01-14,2015-01-19,France,5.0
10857,2,188.85,2015-01-28,2015-02-06,Sweden,9.0
10499,2,102.02,2014-04-08,2014-04-16,Venezuela,8.0
10427,2,31.29,2014-01-27,2014-03-03,Austria,35.0
11075,2,6.19,2015-05-06,,Switzerland,
10862,2,53.23,2015-01-30,2015-02-02,Germany,3.0
10668,2,47.22,2014-09-15,2014-09-23,Germany,8.0
10691,2,810.05,2014-10-03,2014-10-22,Germany,19.0
10705,2,3.52,2014-10-15,2014-11-18,Venezuela,34.0
10312,2,40.26,2013-09-23,2013-10-03,Germany,10.0
10779,2,58.13,2014-12-16,2015-01-14,Germany,29.0
10486,2,30.53,2014-03-26,2014-04-02,Venezuela,7.0
11068,2,81.75,2015-05-04,,Brazil,
10291,2,6.4,2013-08-27,2013-09-04,Brazil,8.0
10574,2,37.6,2014-06-19,2014-06-30,Usa,11.0
11046,2,71.64,2015-04-23,2015-04-24,Germany,1.0
10908,2,32.96,2015-02-26,2015-03-06,Italy,8.0
10841,2,424.3,2015-01-20,2015-01-29,Belgium,9.0
10297,2,5.74,2013-09-04,2013-09-10,France,6.0
10672,2,95.75,2014-09-17,2014-09-26,Sweden,9.0
10583,2,7.28,2014-06-30,2014-07-04,Finland,4.0
10389,2,47.42,2013-12-20,2013-12-24,Canada,4.0
10939,2,76.33,2015-03-10,2015-03-13,Italy,3.0
10648,2,14.25,2014-08-28,2014-09-09,Brazil,12.0
10797,2,33.35,2014-12-25,2015-01-05,Germany,11.0
10817,2,306.07,2015-01-06,2015-01-13,Germany,7.0
11010,2,28.71,2015-04-09,2015-04-21,Italy,12.0
10801,2,97.09,2014-12-29,2014-12-31,Spain,2.0
10315,2,41.76,2013-09-26,2013-10-03,Uk,7.0
10783,2,124.98,2014-12-18,2014-12-19,Brazil,1.0
10448,2,38.82,2014-02-17,2014-02-24,Argentina,7.0
10711,2,52.41,2014-10-21,2014-10-29,Usa,8.0
10612,2,544.08,2014-07-28,2014-08-01,Usa,4.0
10988,2,61.14,2015-03-31,2015-04-10,Usa,10.0
10971,2,121.82,2015-03-24,2015-04-02,France,9.0
10863,2,30.26,2015-02-02,2015-02-17,Venezuela,15.0
10261,2,3.05,2013-07-19,2013-07-30,Brazil,11.0
10875,2,32.37,2015-02-06,2015-03-03,Sweden,25.0
10450,2,7.23,2014-02-19,2014-03-11,France,20.0
10370,2,1.17,2013-12-03,2013-12-27,Switzerland,24.0
10563,2,60.43,2014-06-10,2014-06-24,Brazil,14.0
10951,2,30.85,2015-03-16,2015-04-07,Switzerland,22.0
10593,2,174.2,2014-07-09,2014-08-13,Germany,35.0
10938,2,31.89,2015-03-10,2015-03-16,Germany,6.0
11053,2,53.05,2015-04-27,2015-04-29,Austria,2.0
11076,2,38.28,2015-05-06,,France,
10605,2,379.13,2014-07-21,2014-07-29,Canada,8.0
11067,2,7.98,2015-05-04,2015-05-06,Germany,2.0
11056,2,278.96,2015-04-28,2015-05-01,Uk,3.0
10891,2,20.37,2015-02-17,2015-02-19,Germany,2.0
10303,2,107.83,2013-09-11,2013-09-18,Spain,7.0
10737,2,7.79,2014-11-11,2014-11-18,France,7.0
10946,2,27.2,2015-03-12,2015-03-19,Denmark,7.0
10366,2,10.14,2013-11-28,2013-12-30,Spain,32.0
10342,2,54.83,2013-10-30,2013-11-04,Germany,5.0
10298,2,168.22,2013-09-05,2013-09-11,Ireland,6.0
10905,2,13.72,2015-02-24,2015-03-06,Brazil,10.0
10557,2,96.72,2014-06-03,2014-06-06,Germany,3.0
10844,2,25.22,2015-01-21,2015-01-26,Austria,5.0
10419,2,137.35,2014-01-20,2014-01-30,Switzerland,10.0
10689,2,13.42,2014-10-01,2014-10-07,Sweden,6.0
10616,2,116.53,2014-07-31,2014-08-05,Usa,5.0
10376,2,20.39,2013-12-09,2013-12-13,Canada,4.0
10623,2,97.18,2014-08-07,2014-08-12,Germany,5.0
10480,2,1.35,2014-03-20,2014-03-24,France,4.0
10508,2,4.99,2014-04-16,2014-05-13,Germany,27.0
10898,2,1.27,2015-02-20,2015-03-06,Argentina,14.0
10666,2,232.42,2014-09-12,2014-09-22,Switzerland,10.0
10703,2,152.3,2014-10-14,2014-10-20,Sweden,6.0
10294,2,147.26,2013-08-30,2013-09-05,Usa,6.0
